,R1: Excitement,R1: Overall,SWE R2 I1: Passion/Engagement,SWE R2 I1: Deliverable,SWE R2 I1: Technical Communication,SWE R2 I1: Learning Ability,SWE R2 I1: Overall,SWE R2 I1: Passion/Engagement,SWE R2 I2: Deliverable,SWE R2 I2: Technical Communication,SWE R2 I2: Learning Ability,SWE R2 I2: Overall,R1 Average Score,SWE R2 Average Score,SWE R2 Status,Accepted?,Duration (Semesters),Current Member?
0,3,3,5.0,4.5,4.0,4.0,4.0,5.0,4.5,3.0,5.0,5.0,60,86,0,0,0,False
1,4,4,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,80,78,0,0,0,False
2,4,4,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,80,94,3,1,1,True
3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,0,False
4,5,5,5.0,4.5,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,100,94,3,1,1,True
5,4,4,5.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,80,70,0,0,0,False
6,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,100,98,3,1,1,True
7,4,3,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,70,80,0,0,0,False
8,3,4,4.0,4.5,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,70,82,3,1,1,True
9,4,4,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,80,82,0,0,0,False
11,4,4,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,5.0,5.0,80,84,2,0,0,False
12,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,0,False
13,5,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,100,76,3,1,1,True
14,4,4,2.0,4.0,4.0,4.0,4.0,2.0,3.5,4.0,5.0,4.0,80,74,0,0,0,False
15,5,5,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,100,78,3,1,1,True
17,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0,0,0,0,False
18,4,4,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,80,72,0,0,0,False
19,5,4,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,90,78,0,0,0,False
20,4,4,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,80,72,0,0,0,False
22,3,4,4.0,4.5,4.0,4.0,4.0,4.0,4.5,5.0,4.0,4.0,70,82,2,0,0,False
23,4,4,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,80,76,2,0,0,False
24,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,False
25,4,4,5.0,4.0,5.0,5.0,5.0,5.0,4.5,4.0,5.0,4.0,80,90,3,1,1,True
28,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,80,78,3,1,1,True
30,3,3,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,60,82,0,0,0,False
31,3,4,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,70,88,3,1,1,True
32,4,4,4.0,3.0,4.0,4.0,4.0,4.0,3.5,5.0,4.0,4.0,80,76,0,0,0,False
33,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,False
34,5,5,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,100,72,2,0,0,False
35,4,4,3.0,3.0,4.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,80,60,0,0,0,False
36,4,4,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,80,88,3,1,1,True
37,4,4,4.0,4.5,3.0,3.0,3.0,4.0,4.5,3.0,4.0,4.0,80,72,0,0,0,False
38,4,4,4.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,80,66,0,0,0,False
39,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.5,5.0,4.0,5.0,80,86,3,1,1,True
41,4,4,3.0,4.5,5.0,4.0,4.0,3.0,4.5,4.0,4.0,4.0,80,78,0,0,0,False
42,4,3,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,70,88,3,1,1,True
43,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,0,False
45,4,5,4.0,4.0,5.0,5.0,4.0,4.0,4.5,5.0,5.0,5.0,90,90,3,1,1,True
47,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,0,False
48,4,3,5.0,1.0,3.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,70,72,0,0,0,False
49,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0,False
51,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,False
52,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,1,1,True
